year,climate_variable_recon,lower,upper,climate_variable_recon_scale,lower_scale,upper_scale
1054,-0.01,-0.34,0.37,0.02,-1.57,1.86
1055,0.01,-0.51,0.52,0.15,-2.41,2.61
1056,-0.03,-0.39,0.3,-0.06,-1.83,1.51
1057,-0.13,-0.41,0.18,-0.57,-1.91,0.96
1058,-0.16,-0.48,0.22,-0.68,-2.24,1.14
1059,-0.14,-0.43,0.23,-0.57,-2.01,1.2
1060,-0.15,-0.48,0.23,-0.65,-2.24,1.19
1061,-0.16,-0.48,0.21,-0.71,-2.26,1.09
1062,-0.16,-0.48,0.21,-0.67,-2.25,1.08
1063,-0.18,-0.54,0.22,-0.78,-2.55,1.13
1064,-0.18,-0.54,0.25,-0.79,-2.52,1.27
1065,-0.18,-0.52,0.24,-0.77,-2.46,1.23
1066,-0.14,-0.51,0.33,-0.59,-2.39,1.67
1067,-0.06,-0.41,0.38,-0.21,-1.9,1.92
1068,-0.08,-0.42,0.34,-0.32,-1.97,1.75
1069,0.04,-0.33,0.45,0.26,-1.5,2.26
1070,0.03,-0.31,0.38,0.23,-1.42,1.91
1071,-0.11,-0.4,0.22,-0.45,-1.87,1.17
1072,-0.12,-0.39,0.21,-0.49,-1.81,1.11
1073,-0.11,-0.38,0.24,-0.44,-1.74,1.25
1074,-0.12,-0.4,0.2,-0.5,-1.85,1.07
1075,-0.12,-0.43,0.21,-0.52,-1.99,1.11
1076,-0.12,-0.42,0.23,-0.52,-1.97,1.18
1077,-0.13,-0.42,0.23,-0.57,-1.97,1.19
1078,-0.12,-0.42,0.22,-0.51,-1.94,1.16
1079,-0.15,-0.43,0.15,-0.62,-1.99,0.82
1080,-0.12,-0.39,0.2,-0.5,-1.79,1.03
1081,-0.14,-0.42,0.18,-0.59,-1.96,0.98
1082,-0.12,-0.4,0.2,-0.52,-1.86,1.05
1083,-0.12,-0.41,0.21,-0.51,-1.92,1.09
1084,-0.15,-0.47,0.22,-0.64,-2.22,1.13
1085,-0.15,-0.45,0.22,-0.63,-2.1,1.15
1086,-0.15,-0.46,0.22,-0.66,-2.17,1.17
1087,-0.19,-0.54,0.21,-0.84,-2.55,1.11
1088,-0.19,-0.55,0.23,-0.86,-2.58,1.18
1089,-0.19,-0.54,0.19,-0.82,-2.52,1.02
1090,-0.11,-0.4,0.2,-0.45,-1.84,1.04
1091,-0.06,-0.4,0.35,-0.23,-1.83,1.79
1092,-0.12,-0.4,0.19,-0.51,-1.85,1.01
1093,-0.11,-0.4,0.27,-0.44,-1.84,1.39
1094,-0.06,-0.4,0.38,-0.22,-1.87,1.92
1095,-0.06,-0.37,0.38,-0.21,-1.69,1.94
1096,-0.13,-0.4,0.18,-0.52,-1.88,0.95
1097,-0.1,-0.4,0.27,-0.4,-1.84,1.38
1098,-0.07,-0.39,0.33,-0.27,-1.8,1.66
1099,-0.09,-0.38,0.3,-0.35,-1.77,1.52
1100,-0.11,-0.38,0.26,-0.43,-1.77,1.37
1101,-0.11,-0.38,0.26,-0.44,-1.78,1.33
1102,-0.1,-0.39,0.26,-0.43,-1.82,1.35
1103,-0.13,-0.41,0.19,-0.54,-1.92,1.02
1104,-0.1,-0.38,0.25,-0.39,-1.78,1.28
1105,-0.05,-0.39,0.33,-0.18,-1.8,1.71
1106,0.06,-0.24,0.37,0.37,-1.1,1.89
1107,0.12,-0.23,0.51,0.68,-1.04,2.53
1108,-0.05,-0.34,0.3,-0.18,-1.59,1.54
1109,-0.05,-0.41,0.39,-0.14,-1.9,1.98
1110,-0.06,-0.38,0.36,-0.22,-1.77,1.83
1111,-0.09,-0.38,0.3,-0.34,-1.78,1.52
1112,-0.05,-0.4,0.37,-0.18,-1.86,1.89
1113,-0.08,-0.39,0.33,-0.29,-1.82,1.69
1114,-0.07,-0.4,0.35,-0.25,-1.86,1.79
1115,-0.07,-0.38,0.32,-0.26,-1.78,1.64
1116,-0.02,-0.38,0.35,-0.01,-1.75,1.79
1117,-0.01,-0.34,0.41,0.03,-1.56,2.09
1118,0.01,-0.36,0.37,0.11,-1.65,1.89
1119,-0.01,-0.42,0.4,0.04,-1.93,2.04
1120,0.01,-0.45,0.51,0.14,-2.11,2.53
1121,0.09,-0.35,0.43,0.5,-1.6,2.19
1122,0.02,-0.34,0.38,0.17,-1.56,1.94
1123,-0,-0.43,0.45,0.08,-1.98,2.24
1124,-0.03,-0.41,0.4,-0.07,-1.9,2.02
1125,0.06,-0.24,0.4,0.39,-1.06,2.01
1126,0.09,-0.21,0.44,0.54,-0.96,2.24
1127,-0.05,-0.4,0.37,-0.15,-1.84,1.86
1128,-0.06,-0.4,0.37,-0.22,-1.85,1.86
1129,-0.1,-0.39,0.31,-0.4,-1.82,1.58
1130,-0.05,-0.41,0.37,-0.17,-1.9,1.9
1131,-0.01,-0.43,0.48,0.01,-2.01,2.4
1132,-0.05,-0.4,0.39,-0.15,-1.86,1.96
1133,-0.07,-0.38,0.36,-0.27,-1.77,1.81
1134,-0.09,-0.37,0.28,-0.36,-1.69,1.46
1135,-0.05,-0.42,0.39,-0.15,-1.94,1.98
1136,-0.07,-0.35,0.3,-0.24,-1.64,1.53
1137,-0.11,-0.41,0.25,-0.46,-1.91,1.3
1138,-0.1,-0.39,0.25,-0.38,-1.82,1.28
1139,-0.11,-0.4,0.24,-0.47,-1.84,1.25
1140,0.01,-0.27,0.32,0.13,-1.23,1.63
1141,0.07,-0.21,0.41,0.45,-0.92,2.07
1142,-0.02,-0.41,0.42,-0.01,-1.93,2.14
1143,0,-0.42,0.45,0.09,-1.95,2.27
1144,-0,-0.43,0.46,0.07,-1.99,2.33
1145,0,-0.42,0.46,0.1,-1.95,2.33
1146,0,-0.44,0.48,0.09,-2.07,2.39
1147,0.03,-0.46,0.58,0.23,-2.13,2.88
1148,0.02,-0.47,0.64,0.19,-2.21,3.2
1149,0.01,-0.44,0.54,0.15,-2.03,2.72
1150,-0.04,-0.38,0.46,-0.11,-1.76,2.3
1151,-0.11,-0.4,0.23,-0.47,-1.85,1.18
1152,-0.11,-0.38,0.24,-0.43,-1.77,1.25
1153,-0.11,-0.4,0.26,-0.44,-1.87,1.36
1154,-0.1,-0.42,0.31,-0.38,-1.94,1.58
1155,0.06,-0.27,0.47,0.39,-1.22,2.36
1156,0.08,-0.27,0.43,0.47,-1.21,2.17
1157,-0.12,-0.44,0.23,-0.49,-2.04,1.19
1158,-0.13,-0.42,0.21,-0.55,-1.97,1.09
1159,-0.12,-0.4,0.23,-0.52,-1.87,1.2
1160,-0.13,-0.44,0.22,-0.56,-2.07,1.14
1161,-0.14,-0.45,0.23,-0.61,-2.1,1.19
1162,-0.04,-0.42,0.26,-0.12,-1.96,1.36
1163,-0.03,-0.38,0.39,-0.07,-1.78,1.96
1164,-0.07,-0.4,0.31,-0.26,-1.86,1.59
1165,-0.13,-0.39,0.2,-0.54,-1.83,1.04
1166,-0.12,-0.41,0.2,-0.52,-1.89,1.06
1167,-0.13,-0.41,0.18,-0.54,-1.89,0.97
1168,-0.13,-0.39,0.18,-0.54,-1.82,0.96
1169,-0.1,-0.38,0.21,-0.4,-1.74,1.12
1170,-0.02,-0.33,0.37,-0.03,-1.51,1.87
1171,0.18,-0.18,0.53,0.98,-0.79,2.64
1172,0.17,-0.19,0.53,0.92,-0.85,2.66
1173,0.17,-0.21,0.52,0.91,-0.93,2.58
1174,0.05,-0.3,0.41,0.31,-1.39,2.08
1175,-0.1,-0.41,0.26,-0.42,-1.93,1.32
1176,-0.13,-0.44,0.18,-0.57,-2.06,0.94
1177,-0.09,-0.4,0.31,-0.33,-1.83,1.58
1178,0.02,-0.47,0.56,0.17,-2.17,2.81
1179,0.08,-0.21,0.52,0.47,-0.93,2.59
1180,0.15,-0.23,0.52,0.83,-1.04,2.58
1181,0.05,-0.32,0.46,0.33,-1.46,2.31
1182,0.15,-0.23,0.52,0.8,-1.02,2.61
1183,0.08,-0.22,0.44,0.49,-0.97,2.2
1184,-0.06,-0.4,0.36,-0.19,-1.88,1.83
1185,-0.06,-0.37,0.36,-0.22,-1.74,1.81
1186,0.05,-0.25,0.39,0.31,-1.13,1.98
1187,0.1,-0.22,0.48,0.55,-0.98,2.41
1188,-0.03,-0.41,0.44,-0.06,-1.89,2.2
1189,0.02,-0.45,0.56,0.16,-2.11,2.8
1190,0,-0.44,0.56,0.09,-2.04,2.81
1191,-0.03,-0.4,0.39,-0.07,-1.86,1.96
1192,-0.01,-0.43,0.4,0.01,-1.99,2.01
1193,0.01,-0.45,0.53,0.15,-2.12,2.66
1194,-0.04,-0.38,0.52,-0.11,-1.76,2.6
1195,-0.12,-0.4,0.2,-0.51,-1.84,1.05
1196,-0.11,-0.39,0.24,-0.44,-1.79,1.25
1197,-0.09,-0.39,0.29,-0.35,-1.81,1.49
1198,-0.07,-0.4,0.33,-0.27,-1.87,1.67
1199,-0.09,-0.37,0.27,-0.33,-1.73,1.41
1200,-0.12,-0.41,0.23,-0.49,-1.89,1.18
1201,-0.11,-0.39,0.22,-0.44,-1.81,1.16
1202,-0.12,-0.39,0.2,-0.5,-1.82,1.05
1203,-0.13,-0.4,0.17,-0.55,-1.87,0.92
1204,-0.11,-0.38,0.22,-0.47,-1.76,1.13
1205,-0.13,-0.42,0.19,-0.57,-1.95,0.98
1206,-0.16,-0.47,0.16,-0.68,-2.2,0.84
1207,-0.13,-0.41,0.21,-0.52,-1.88,1.09
1208,-0.12,-0.39,0.2,-0.48,-1.79,1.06
1209,-0.11,-0.41,0.25,-0.46,-1.9,1.28
1210,-0.07,-0.41,0.35,-0.27,-1.92,1.78
1211,-0.04,-0.37,0.39,-0.11,-1.72,1.97
1212,-0.08,-0.41,0.33,-0.32,-1.88,1.67
1213,-0.12,-0.41,0.28,-0.48,-1.89,1.42
1214,-0.06,-0.39,0.37,-0.19,-1.8,1.88
1215,-0.03,-0.37,0.36,-0.05,-1.7,1.85
1216,-0.11,-0.41,0.26,-0.45,-1.9,1.36
1217,-0.12,-0.41,0.23,-0.51,-1.92,1.19
1218,-0.13,-0.41,0.24,-0.54,-1.9,1.25
1219,-0.12,-0.43,0.21,-0.52,-1.98,1.11
1220,-0.13,-0.42,0.17,-0.55,-1.96,0.89
1221,-0.12,-0.38,0.23,-0.51,-1.76,1.2
1222,-0.11,-0.39,0.25,-0.46,-1.82,1.32
1223,-0.09,-0.38,0.29,-0.36,-1.75,1.5
1224,-0.11,-0.39,0.22,-0.44,-1.8,1.16
1225,-0.12,-0.41,0.2,-0.52,-1.91,1.04
1226,-0.11,-0.39,0.23,-0.47,-1.8,1.19
1227,-0.12,-0.4,0.21,-0.49,-1.88,1.1
1228,-0.13,-0.43,0.23,-0.54,-2,1.19
1229,-0.13,-0.41,0.24,-0.53,-1.92,1.27
1230,-0.13,-0.44,0.23,-0.56,-2.04,1.21
1231,-0.14,-0.47,0.21,-0.61,-2.2,1.12
1232,-0.16,-0.48,0.22,-0.68,-2.24,1.15
1233,-0.13,-0.42,0.25,-0.54,-1.97,1.31
1234,-0.12,-0.44,0.24,-0.52,-2.03,1.25
1235,-0.19,-0.54,0.22,-0.84,-2.52,1.16
1236,-0.18,-0.52,0.21,-0.8,-2.45,1.1
1237,-0.14,-0.43,0.22,-0.59,-1.98,1.17
1238,-0.13,-0.43,0.25,-0.54,-2.02,1.27
1239,-0.17,-0.51,0.21,-0.72,-2.39,1.11
1240,-0.14,-0.45,0.21,-0.59,-2.12,1.09
1241,-0.13,-0.42,0.21,-0.53,-1.98,1.1
1242,-0.17,-0.5,0.21,-0.75,-2.36,1.1
1243,-0.2,-0.56,0.22,-0.89,-2.62,1.17
1244,-0.15,-0.47,0.23,-0.65,-2.19,1.19
1245,-0.13,-0.43,0.24,-0.54,-1.99,1.22
1246,-0.12,-0.4,0.24,-0.49,-1.87,1.24
1247,-0.14,-0.45,0.23,-0.59,-2.11,1.18
1248,-0.15,-0.47,0.22,-0.66,-2.2,1.15
1249,-0.13,-0.41,0.23,-0.54,-1.89,1.22
1250,-0.13,-0.41,0.23,-0.55,-1.91,1.18
1251,-0.13,-0.43,0.21,-0.56,-1.99,1.08
1252,-0.13,-0.4,0.19,-0.53,-1.87,0.99
1253,-0.1,-0.4,0.26,-0.4,-1.84,1.36
1254,-0.1,-0.4,0.28,-0.38,-1.87,1.45
1255,-0.12,-0.39,0.24,-0.49,-1.8,1.25
1256,-0.09,-0.39,0.28,-0.37,-1.82,1.42
1257,-0.06,-0.42,0.41,-0.19,-1.97,2.07
1258,0.03,-0.48,0.62,0.21,-2.26,3.08
1259,-0.03,-0.41,0.46,-0.08,-1.89,2.33
1260,-0.09,-0.38,0.34,-0.34,-1.78,1.74
1261,-0.11,-0.38,0.25,-0.47,-1.78,1.29
1262,-0.1,-0.39,0.27,-0.43,-1.82,1.4
1263,-0.08,-0.4,0.31,-0.33,-1.86,1.58
1264,-0.02,-0.32,0.32,0,-1.46,1.63
1265,0.09,-0.31,0.48,0.5,-1.41,2.41
1266,0.12,-0.26,0.49,0.65,-1.2,2.45
1267,0.01,-0.34,0.37,0.13,-1.56,1.88
1268,-0.11,-0.38,0.19,-0.43,-1.74,0.99
1269,-0.05,-0.43,0.39,-0.16,-2,1.95
1270,-0.08,-0.36,0.29,-0.33,-1.68,1.49
1271,-0.13,-0.4,0.19,-0.53,-1.85,1.01
1272,-0.12,-0.39,0.25,-0.48,-1.8,1.32
1273,-0.09,-0.4,0.28,-0.36,-1.87,1.43
1274,-0.03,-0.41,0.41,-0.05,-1.91,2.08
1275,0.01,-0.44,0.49,0.13,-2.05,2.46
1276,-0,-0.41,0.47,0.08,-1.92,2.36
1277,-0,-0.43,0.47,0.06,-2,2.38
1278,0.01,-0.43,0.5,0.12,-2.01,2.52
1279,0,-0.43,0.51,0.1,-1.99,2.53
1280,0.02,-0.44,0.51,0.16,-2.03,2.56
1281,0.03,-0.36,0.4,0.21,-1.67,2
1282,0.03,-0.36,0.37,0.25,-1.66,1.88
1283,0.01,-0.43,0.48,0.11,-2.02,2.39
1284,-0.02,-0.4,0.46,-0.04,-1.86,2.32
1285,-0.07,-0.4,0.36,-0.26,-1.84,1.81
1286,-0.07,-0.38,0.36,-0.25,-1.77,1.81
1287,-0.09,-0.39,0.3,-0.34,-1.8,1.53
1288,-0.06,-0.42,0.34,-0.19,-1.95,1.75
1289,-0.05,-0.41,0.43,-0.14,-1.89,2.18
1290,-0.1,-0.38,0.32,-0.41,-1.75,1.65
1291,-0.12,-0.38,0.22,-0.48,-1.78,1.16
1292,-0.12,-0.38,0.19,-0.5,-1.76,1.02
1293,-0.11,-0.39,0.23,-0.47,-1.82,1.18
1294,-0.13,-0.4,0.19,-0.56,-1.88,1.01
1295,-0.12,-0.38,0.21,-0.5,-1.77,1.11
1296,-0.11,-0.38,0.22,-0.44,-1.75,1.17
1297,-0.09,-0.39,0.27,-0.35,-1.79,1.41
1298,-0.09,-0.38,0.27,-0.37,-1.76,1.4
1299,-0.04,-0.41,0.4,-0.12,-1.89,2.03
1300,-0.09,-0.37,0.31,-0.35,-1.73,1.57
1301,-0.11,-0.38,0.24,-0.43,-1.77,1.25
1302,-0.12,-0.4,0.21,-0.49,-1.85,1.1
1303,-0.1,-0.38,0.26,-0.39,-1.76,1.35
1304,-0.09,-0.36,0.26,-0.35,-1.68,1.36
1305,-0.13,-0.42,0.2,-0.55,-1.96,1.06
1306,-0.12,-0.39,0.21,-0.48,-1.82,1.1
1307,-0.09,-0.39,0.29,-0.36,-1.83,1.5
1308,-0.09,-0.37,0.27,-0.35,-1.72,1.42
1309,-0.15,-0.45,0.21,-0.64,-2.11,1.08
1310,-0.15,-0.45,0.14,-0.63,-2.12,0.77
1311,-0.1,-0.39,0.25,-0.41,-1.81,1.31
1312,-0.11,-0.39,0.22,-0.47,-1.8,1.13
1313,-0.11,-0.38,0.2,-0.47,-1.76,1.05
1314,-0.11,-0.39,0.18,-0.47,-1.82,0.96
1315,-0.04,-0.42,0.37,-0.12,-1.94,1.86
1316,-0,-0.46,0.49,0.07,-2.14,2.46
1317,-0.04,-0.38,0.46,-0.12,-1.76,2.32
1318,-0.12,-0.41,0.21,-0.52,-1.89,1.09
1319,-0.11,-0.39,0.21,-0.47,-1.79,1.09
1320,-0.12,-0.4,0.18,-0.52,-1.86,0.96
1321,-0.12,-0.4,0.16,-0.51,-1.85,0.88
1322,-0.04,-0.42,0.34,-0.13,-1.97,1.71
1323,-0.08,-0.38,0.28,-0.32,-1.78,1.43
1324,-0.11,-0.38,0.26,-0.44,-1.75,1.35
1325,-0.09,-0.38,0.26,-0.35,-1.76,1.36
1326,-0.17,-0.5,0.21,-0.72,-2.36,1.09
1327,-0.16,-0.5,0.22,-0.69,-2.32,1.14
1328,-0.15,-0.45,0.19,-0.65,-2.12,0.99
1329,-0.13,-0.42,0.18,-0.57,-1.94,0.93
1330,-0.13,-0.4,0.18,-0.54,-1.84,0.96
1331,-0.1,-0.37,0.25,-0.41,-1.72,1.31
1332,-0.14,-0.41,0.16,-0.6,-1.9,0.85
1333,-0.11,-0.4,0.25,-0.43,-1.84,1.31
1334,-0.06,-0.41,0.35,-0.21,-1.88,1.77
1335,0,-0.45,0.49,0.09,-2.08,2.44
1336,-0.02,-0.44,0.57,-0.01,-2.06,2.84
1337,-0.08,-0.39,0.34,-0.3,-1.79,1.74
1338,-0.11,-0.42,0.24,-0.46,-1.98,1.24
1339,-0.14,-0.46,0.26,-0.59,-2.17,1.36
1340,-0.08,-0.39,0.31,-0.33,-1.8,1.59
1341,-0.11,-0.4,0.23,-0.47,-1.85,1.19
1342,-0.13,-0.41,0.19,-0.56,-1.93,1.01
1343,-0.12,-0.39,0.21,-0.49,-1.81,1.08
1344,-0.08,-0.36,0.28,-0.29,-1.67,1.45
1345,-0.13,-0.45,0.22,-0.53,-2.1,1.13
1346,-0.15,-0.46,0.22,-0.66,-2.17,1.16
1347,-0.14,-0.46,0.26,-0.61,-2.13,1.35
1348,-0.11,-0.4,0.3,-0.43,-1.84,1.52
1349,-0.11,-0.41,0.32,-0.44,-1.93,1.63
1350,-0.09,-0.39,0.3,-0.37,-1.81,1.55
1351,-0.15,-0.46,0.23,-0.63,-2.13,1.19
1352,-0.13,-0.43,0.24,-0.54,-2.01,1.24
1353,-0.14,-0.44,0.22,-0.6,-2.06,1.17
1354,-0.13,-0.44,0.23,-0.56,-2.07,1.2
1355,-0.15,-0.46,0.23,-0.66,-2.13,1.18
1356,-0.17,-0.5,0.22,-0.73,-2.37,1.14
1357,-0.16,-0.48,0.18,-0.71,-2.22,0.96
1358,-0.15,-0.46,0.21,-0.64,-2.14,1.09
1359,-0.14,-0.42,0.19,-0.6,-1.96,0.98
1360,-0.13,-0.43,0.17,-0.57,-2.01,0.92
1361,-0.16,-0.5,0.2,-0.7,-2.35,1.07
1362,-0.18,-0.53,0.2,-0.77,-2.51,1.06
1363,-0.22,-0.57,0.22,-0.98,-2.71,1.15
1364,-0.22,-0.59,0.2,-0.99,-2.76,1.07
1365,-0.15,-0.42,0.18,-0.62,-1.96,0.98
1366,-0.14,-0.41,0.19,-0.57,-1.9,0.98
1367,-0.14,-0.44,0.17,-0.6,-2.07,0.93
1368,-0.15,-0.43,0.15,-0.63,-1.99,0.8
1369,-0.09,-0.36,0.24,-0.35,-1.65,1.24
1370,-0.02,-0.37,0.35,-0,-1.73,1.8
1371,0.09,-0.27,0.44,0.5,-1.23,2.23
1372,-0.1,-0.4,0.31,-0.39,-1.85,1.57
1373,-0.13,-0.46,0.22,-0.56,-2.13,1.17
1374,-0.18,-0.51,0.15,-0.79,-2.39,0.79
1375,-0.09,-0.42,0.26,-0.38,-1.93,1.33
1376,-0.03,-0.42,0.43,-0.08,-1.96,2.15
1377,-0.08,-0.38,0.32,-0.32,-1.77,1.63
1378,-0.11,-0.39,0.26,-0.43,-1.8,1.34
1379,-0.12,-0.37,0.24,-0.48,-1.73,1.23
1380,-0.11,-0.38,0.21,-0.45,-1.77,1.11
1381,-0.14,-0.42,0.15,-0.59,-1.98,0.83
1382,-0.06,-0.43,0.34,-0.19,-1.99,1.73
1383,-0.05,-0.38,0.37,-0.18,-1.77,1.88
1384,-0.12,-0.39,0.19,-0.51,-1.83,0.98
1385,-0.07,-0.36,0.21,-0.23,-1.68,1.11
1386,-0.02,-0.35,0.34,0.01,-1.62,1.71
1387,-0.09,-0.38,0.27,-0.37,-1.75,1.39
1388,-0.12,-0.38,0.22,-0.48,-1.79,1.15
1389,-0.08,-0.4,0.31,-0.31,-1.88,1.59
1390,-0.07,-0.38,0.34,-0.27,-1.75,1.75
1391,-0.11,-0.4,0.22,-0.46,-1.84,1.15
1392,-0.14,-0.45,0.2,-0.62,-2.11,1.07
1393,-0.18,-0.52,0.19,-0.8,-2.46,1.01
1394,-0.13,-0.39,0.17,-0.57,-1.83,0.88
1395,-0.09,-0.4,0.28,-0.35,-1.84,1.46
1396,-0.08,-0.4,0.32,-0.29,-1.84,1.62
1397,-0.03,-0.41,0.43,-0.04,-1.91,2.15
1398,0,-0.43,0.48,0.1,-2.03,2.42
1399,-0.02,-0.4,0.48,-0.01,-1.85,2.43
1400,-0.08,-0.38,0.35,-0.29,-1.76,1.77
1401,-0.13,-0.43,0.21,-0.53,-1.99,1.08
1402,-0.22,-0.56,0.21,-0.97,-2.65,1.08
1403,-0.25,-0.65,0.23,-1.15,-3.07,1.21
1404,-0.24,-0.68,0.22,-1.11,-3.2,1.14
1405,-0.12,-0.49,0.33,-0.48,-2.3,1.67
1406,0.01,-0.32,0.41,0.12,-1.45,2.06
1407,-0.08,-0.38,0.33,-0.3,-1.74,1.68
1408,-0.14,-0.45,0.24,-0.58,-2.11,1.26
1409,-0.15,-0.45,0.12,-0.65,-2.09,0.65
1410,-0.08,-0.38,0.31,-0.29,-1.78,1.6
1411,-0.13,-0.42,0.2,-0.53,-1.95,1.03
1412,-0.14,-0.44,0.17,-0.59,-2.06,0.92
1413,-0.13,-0.4,0.18,-0.53,-1.84,0.95
1414,-0.11,-0.39,0.25,-0.46,-1.8,1.29
1415,-0.12,-0.41,0.2,-0.5,-1.91,1.07
1416,-0.16,-0.49,0.21,-0.7,-2.3,1.1
1417,-0.18,-0.53,0.19,-0.79,-2.49,1.01
1418,-0.14,-0.43,0.23,-0.58,-1.98,1.21
1419,-0.09,-0.39,0.31,-0.37,-1.82,1.58
1420,-0.09,-0.39,0.31,-0.36,-1.81,1.57
1421,-0.12,-0.4,0.16,-0.5,-1.85,0.87
1422,-0.03,-0.33,0.29,-0.05,-1.54,1.51
1423,-0.03,-0.37,0.26,-0.07,-1.71,1.35
1424,-0.19,-0.53,0.2,-0.84,-2.47,1.07
1425,-0.17,-0.51,0.13,-0.75,-2.39,0.72
1426,-0.1,-0.4,0.26,-0.4,-1.84,1.35
1427,-0.11,-0.37,0.21,-0.45,-1.72,1.12
1428,-0.13,-0.42,0.2,-0.56,-1.95,1.04
1429,-0.11,-0.38,0.24,-0.44,-1.78,1.25
1430,-0.08,-0.39,0.29,-0.32,-1.8,1.47
1431,-0.07,-0.38,0.37,-0.26,-1.77,1.86
1432,-0.12,-0.4,0.22,-0.5,-1.84,1.16
1433,-0.11,-0.38,0.28,-0.43,-1.78,1.44
1434,-0.07,-0.39,0.34,-0.27,-1.81,1.75
1435,-0.1,-0.38,0.24,-0.4,-1.75,1.25
1436,-0.14,-0.45,0.19,-0.62,-2.1,1.02
1437,-0.13,-0.42,0.18,-0.56,-1.97,0.95
1438,-0.14,-0.43,0.18,-0.58,-2,0.96
1439,-0.12,-0.39,0.2,-0.5,-1.79,1.06
1440,-0.1,-0.39,0.3,-0.39,-1.81,1.52
1441,-0.11,-0.39,0.22,-0.44,-1.81,1.17
1442,-0.02,-0.36,0.35,0,-1.66,1.76
1443,0.1,-0.28,0.48,0.57,-1.28,2.42
1444,0.13,-0.25,0.5,0.7,-1.15,2.49
1445,0.18,-0.22,0.54,0.98,-0.99,2.69
1446,0.03,-0.32,0.37,0.2,-1.46,1.86
1447,-0.1,-0.37,0.24,-0.42,-1.72,1.23
1448,-0.09,-0.39,0.32,-0.35,-1.82,1.65
1449,-0.06,-0.4,0.35,-0.19,-1.87,1.79
1450,0.02,-0.32,0.37,0.18,-1.45,1.86
1451,-0.02,-0.41,0.29,-0.03,-1.91,1.48
1452,-0.09,-0.41,0.32,-0.35,-1.9,1.61
1453,0.01,-0.49,0.65,0.13,-2.27,3.25
1454,-0.05,-0.41,0.45,-0.14,-1.9,2.26
